Position,Adm No,Name,Gender,Eng,Kiswahili,Maths,Chemistry,Biology,Physics,History,Geo,CRE,IRE,Agriculture,Computer,French,Business,No. of Subjects,Mean Marks,Grade,Points,Total Marks,Behavior(1-5),Attendance(0-100%)
16,ADM1032,Mary Wambui,Female,67.2,78.4,92.1,95.4,,43.8,63.9,67.1,,93.2,94.1,78.9,49.3,38.2,12,69.5,B+,10,834.0,3,88%
17,ADM1036,James Odhiambo,Male,63.8,43.2,62.4,84.1,49.3,86.7,,59.8,89.2,78.9,56.1,,95.4,96.8,12,69.3,B+,10,831.6,2,85%
18,ADM1041,Ann Kamau,Female,85.2,89.3,56.4,49.3,96.8,,61.4,,71.2,77.6,74.3,95.9,40.2,64.1,12,68.9,B+,10,826.8,2,100%
19,ADM1005,Jane Achieng,Female,45.8,43.9,81.4,58.7,82.3,94.2,43.2,87.6,,,98.1,93.4,67.9,62.1,12,69.2,B+,10,830.4,1,89%
20,ADM1004,Michael Omondi,Female,82.3,86.1,69.2,84.7,66.8,,87.4,,64.2,66.3,89.7,57.1,48.2,49.3,12,67.9,B,9,814.8,3,85%
21,ADM1028,Grace Omondi,Female,72.8,81.2,58.4,42.3,55.9,,88.1,66.3,,36.4,97.4,98.2,56.8,94.5,12,67.8,B,9,813.6,3,83%
22,ADM1057,Peter Odhiambo,Male,57.2,62.9,44.8,83.7,47.3,,,65.1,75.2,87.9,96.4,69.8,76.4,88.2,12,67.8,B,9,813.6,3,86%
23,ADM1029,Peter Mutiso,Male,81.3,94.2,89.8,67.4,36.1,47.8,37.6,76.8,36.4,84.1,90.6,91.2,,,12,67.2,B,9,806.4,2,85%
24,ADM1054,Daniel Wanjiku,Female,85.2,78.9,83.4,84.1,71.8,40.2,64.3,,78.1,,45.8,52.3,76.2,82.1,12,67.0,B,9,804.0,2,82%
25,ADM1060,John Omondi,Female,52.1,77.6,82.3,54.2,57.8,,75.2,84.1,65.4,49.2,49.3,95.1,,98.2,12,66.7,B,9,800.4,2,85%
26,ADM1018,James Wanjiku,Male,83.2,45.6,66.4,85.3,73.8,44.1,55.2,,69.8,74.2,,97.1,46.8,91.4,12,66.4,B,9,796.8,2,99%
27,ADM1059,Ann Odhiambo,Female,90.8,86.9,91.2,46.1,,89.4,43.2,87.2,82.8,,45.8,48.2,37.6,73.9,12,66.1,B,9,793.2,2,95%
28,ADM1047,Michael Mutiso,Male,89.3,42.8,82.3,47.8,52.7,51.2,,54.0,77.2,84.9,,87.3,63.4,87.8,12,65.8,B,9,789.6,1,100%
29,ADM1015,Daniel Anyango,Female,88.9,57.2,83.4,88.7,72.4,53.0,71.1,,51.2,70.7,82.7,,42.8,61.4,12,65.3,B,9,783.6,2,93%
30,ADM1008,Ann Ochieng,Male,71.2,62.9,83.2,63.8,,50.4,83.4,63.2,69.4,97.3,69.8,,44.7,65.1,12,65.3,B,9,783.6,2,95%
31,ADM1044,James Wanjiku,Male,94.8,94.2,64.0,58.7,46.4,61.2,55.4,,43.8,58.4,,53.0,87.6,90.8,12,64.8,B,9,777.6,4,83%
32,ADM1046,Ann Njoroge,Male,85.2,89.8,36.4,71.1,,53.7,80.1,94.8,,49.2,72.8,73.9,68.9,36.3,12,64.6,B,9,775.2,1,96%
33,ADM1049,Jane Njoroge,Female,67.2,57.8,38.9,61.3,92.4,79.4,71.2,,79.8,57.2,,62.4,80.1,73.9,12,64.2,B,9,770.4,2,100%
34,ADM1009,Peter Achieng,Female,36.3,71.2,57.4,90.6,83.4,36.1,77.8,,76.9,93.2,48.2,63.8,83.9,,12,64.4,B,9,772.8,1,84%
35,ADM1026,James Anyango,Male,41.8,44.9,39.3,87.8,,76.9,,38.4,86.1,97.9,77.3,84.9,79.8,58.7,12,64.1,B,9,769.2,2,89%
36,ADM1037,John Anyango,Female,95.8,69.8,50.4,64.2,66.4,81.2,48.2,43.8,53.0,,72.8,98.9,,66.1,12,64.1,B,9,769.2,4,94%
37,ADM1006,Grace Wambui,Female,77.8,87.6,62.4,37.6,80.9,,51.4,53.8,71.8,,84.1,57.2,89.8,56.3,12,64.0,B,9,768.0,2,91%
38,ADM1010,James Wanjiku,Male,51.3,57.8,46.8,95.3,82.3,,55.4,95.1,46.1,71.2,65.7,57.2,85.6,,12,64.0,B,9,768.0,3,92%
39,ADM1011,James Njoroge,Female,74.2,69.4,93.8,36.8,77.1,52.3,74.2,85.9,,66.4,,58.2,59.3,56.1,12,63.3,B-,8,759.6,2,93%
40,ADM1031,Mary Njoroge,Male,38.9,68.4,39.2,93.7,81.6,35.8,65.4,95.6,57.8,,,58.2,97.1,64.1,12,63.2,B-,8,758.4,2,90%
41,ADM1027,Mary Kamau,Male,64.1,66.2,97.6,86.4,43.8,42.8,,,66.0,57.6,77.1,65.2,46.8,82.4,12,63.0,B-,8,756.0,1,79%
42,ADM1014,Lucy Wanjiku,Female,83.9,85.2,82.6,64.2,62.8,80.1,38.9,56.8,54.0,76.0,65.2,,,45.8,12,62.9,B-,8,754.8,3,93%
43,ADM1022,John Odhiambo,Female,37.8,46.1,37.2,43.8,83.4,76.5,92.6,63.2,76.0,,,91.8,92.0,49.2,12,62.5,B-,8,750.0,2,100%
44,ADM1051,Mary Anyango,Male,80.9,95.8,58.2,63.4,76.0,36.3,62.8,,61.2,58.4,37.6,83.0,71.1,,12,62.4,B-,8,748.8,4,91%
45,ADM1019,Jane Achieng,Male,36.4,69.4,69.8,52.4,,72.4,74.2,36.0,,58.2,77.9,96.2,74.3,76.5,12,62.3,B-,8,747.6,4,94%
46,ADM1042,Lucy Kamau,Female,58.7,90.2,40.2,56.3,,80.3,42.8,68.0,63.7,90.2,60.4,59.3,,79.1,12,62.0,B-,8,744.0,1,87%
47,ADM1058,Michael Mutiso,Female,64.1,60.4,38.4,85.8,,72.4,65.8,66.8,96.5,63.2,,82.1,48.7,42.3,12,61.9,B-,8,742.8,3,82%
48,ADM1052,James Achieng,Female,75.4,40.2,81.4,48.2,45.7,75.4,44.7,,75.1,86.0,,44.9,74.8,89.6,12,61.4,B-,8,736.8,1,94%
49,ADM1040,John Mutiso,Male,62.8,41.9,73.8,83.4,54.4,86.8,,,95.5,60.0,65.8,70.7,36.4,43.2,12,61.2,B-,8,734.4,3,94%
50,ADM1025,Daniel Odhiambo,Male,80.0,62.4,41.8,53.4,93.4,61.2,50.9,60.5,60.7,68.1,,,82.9,58.4,12,61.1,B-,8,733.2,3,99%
51,ADM1013,Lucy Wanjiku,Male,44.1,76.9,57.8,75.9,43.5,,79.8,68.0,74.4,70.0,98.5,,46.8,48.2,12,61.1,B-,8,733.2,1,98%
52,ADM1016,Grace Wanjiku,Male,68.4,71.8,43.6,52.3,,54.2,67.5,36.1,61.6,81.9,72.8,43.2,96.8,,12,58.4,C+,7,700.8,4,79%
53,ADM1038,James Anyango,Female,43.6,91.4,78.5,40.6,69.4,63.4,62.1,,41.8,94.9,53.7,55.9,,48.2,12,58.3,C+,7,699.6,4,92%
54,ADM1048,James Omondi,Male,39.6,58.8,37.2,82.7,50.4,57.6,84.4,82.4,59.8,,,85.6,57.8,46.8,12,57.7,C+,7,692.4,1,88%
55,ADM1012,Lucy Kamau,Male,42.3,43.9,59.2,44.1,69.8,38.9,,56.7,83.2,86.6,52.9,57.2,,74.4,12,54.9,C+,7,658.8,4,98%
56,ADM1030,Michael Wanjiku,Female,70.6,84.2,52.0,44.2,56.6,,60.1,86.3,59.8,47.5,50.4,37.7,54.9,,12,54.8,C+,7,657.6,3,91%
57,ADM1035,Ann Odhiambo,Female,35.6,65.7,39.3,59.5,79.8,40.2,73.7,77.2,,41.5,,79.9,70.2,40.8,12,54.2,C+,7,650.4,3,99%
58,ADM1001,Daniel Wanjiku,Female,35.6,50.7,37.8,49.2,72.7,59.3,46.8,84.4,95.5,36.1,,,59.4,45.3,12,52.1,C,6,625.2,2,88%
59,ADM1033,Michael Mutiso,Male,43.5,89.7,55.8,39.9,36.3,38.6,78.3,45.0,,38.4,53.4,95.0,52.9,,12,50.8,C,6,609.6,2,97%
60,ADM1017,James Kamau,Male,96.6,51.4,36.7,37.0,68.5,44.9,,36.7,49.2,39.9,,68.6,43.6,74.2,12,50.0,C,6,600.0,2,79%
